pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nrscell1_cid,nrscell1_freq,nrscell2_cid,nrscell2_freq,nrscell3_cid,nrscell3_freq,instance_number,duration_sample_number
51,1123,825,125290,None,None,None,None,None,None,None,None,None,None,None,None,1,406
51,1123,846,125290,None,None,None,None,None,None,None,None,None,None,None,None,1,213
361,1123,680,125290,None,None,None,None,None,None,None,None,None,None,None,None,1,84
434,1123,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,15
434,1123,264,519630,None,None,None,None,None,None,None,None,None,None,None,None,1,93
434,1123,846,125290,None,None,None,None,None,None,None,None,None,None,None,None,2,72
382,1123,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,8
382,1123,846,125290,None,None,None,None,None,None,None,None,None,None,None,None,1,94
12,1123,438,519630,None,None,None,None,None,None,None,None,None,None,None,None,1,103
252,66811,367,519630,None,None,None,None,None,None,None,None,None,None,None,None,3,665
496,66811,880,125290,205,1123,None,None,None,None,None,None,None,None,None,None,1,317
252,66811,367,519630,None,None,12,1123,None,None,None,None,None,None,None,None,1,260
373,66811,846,125290,469,1123,None,None,None,None,None,None,None,None,None,None,1,866
473,66811,846,125290,47,1123,None,None,None,None,None,None,None,None,None,None,1,278
473,66811,276,519630,47,1123,None,None,None,None,None,None,None,None,None,None,1,273
62,66811,302,519630,None,None,89,1123,None,None,None,None,None,None,None,None,1,1050
435,66811,62,125290,166,1123,None,None,None,None,None,None,None,None,None,None,1,679
219,66811,211,125290,117,1123,None,None,None,None,None,None,None,None,None,None,1,177
219,66811,438,519630,117,1123,None,None,None,None,None,None,None,None,None,None,1,57
431,66811,438,519630,293,876,None,None,None,None,None,None,None,None,None,None,1,38
63,66811,438,519630,185,1123,None,None,None,None,None,None,None,None,None,None,1,125
63,66811,815,125290,185,1123,None,None,None,None,None,None,None,None,None,None,1,40
31,66811,815,125290,150,1123,None,None,None,None,None,None,None,None,None,None,1,457
1,66811,187,519630,None,None,59,1123,None,None,None,None,None,None,None,None,1,58
286,66811,187,519630,98,1123,None,None,None,None,None,None,None,None,None,None,1,270
268,66811,431,519630,412,1123,None,None,None,None,None,None,None,None,None,None,1,46
268,66811,651,519630,412,1123,None,None,None,None,None,None,None,None,None,None,1,402
268,66811,367,519630,412,1123,None,None,None,None,None,None,None,None,None,None,1,20
412,66811,189,519630,None,None,496,1123,None,None,None,None,None,None,None,None,1,33
412,66811,651,519630,None,None,496,1123,None,None,None,None,None,None,None,None,1,43
165,66811,651,519630,242,1123,None,None,None,None,None,None,None,None,None,None,1,70
357,66811,846,125290,None,None,None,None,None,None,None,None,None,None,None,None,1,28
252,66811,106,519630,None,None,None,None,None,None,None,None,None,None,None,None,2,344
252,66811,207,519630,None,None,None,None,None,None,None,None,None,None,None,None,1,305
431,66811,438,519630,None,None,None,None,None,None,None,None,None,None,None,None,3,366
464,66811,846,125290,None,None,None,None,None,None,None,None,None,None,None,None,2,136
58,66811,207,519630,None,None,None,None,None,None,None,None,None,None,None,None,1,13
338,66811,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,7
338,66811,106,519630,None,None,None,None,None,None,None,None,None,None,None,None,2,67
434,66811,455,519630,None,None,None,None,None,None,None,None,None,None,None,None,1,679
434,66811,595,519630,None,None,None,None,None,None,None,None,None,None,None,None,1,34
464,66811,264,519630,None,None,None,None,None,None,None,None,None,None,None,None,1,73
240,66811,651,519630,None,None,None,None,None,None,None,None,None,None,None,None,2,48
252,66811,44,519630,None,None,None,None,None,None,None,None,None,None,None,None,2,195
219,66811,438,519630,None,None,None,None,None,None,None,None,None,None,None,None,3,322
63,66811,438,519630,None,None,None,None,None,None,None,None,None,None,None,None,1,140
234,66811,438,519630,249,1123,None,None,None,None,None,None,None,None,None,None,1,18
31,66811,438,519630,None,None,None,None,None,None,None,None,None,None,None,None,1,134
31,66811,651,519630,None,None,None,None,None,None,None,None,None,None,None,None,1,54
417,66811,694,125290,None,None,None,None,None,None,None,None,None,None,None,None,1,272
82,66811,680,125290,None,None,None,None,None,None,None,None,None,None,None,None,1,99
