Region,Operator,Type,Cell,Freq,Band
A-R2,A,LTE,385,5330,14
A-R2,A,LTE,390,850,2
A-R2,A,LTE,475,850,2
A-R2,A,LTE,395,66486,66
A-R3,A,LTE,129,9840,30
A-R2,A,LTE,171,66661,66
A-R3,A,LTE,44,5110,12
A-R2,A,LTE,296,850,2
A-R1,A,LTE,326,53139,46
A-R2,A,LTE,222,850,2
A-R2,A,LTE,418,52941,46
A-R2,A,LTE,4,850,2
A-R1,A,LTE,363,53339,46
A-R1,A,LTE,456,53141,46
A-R1,A,LTE,469,52940,46
A-R1,A,LTE,137,66936,66
A-R2,A,LTE,241,850,2
A-R2,A,LTE,57,52941,46
A-R2,A,LTE,452,850,2
A-R2,A,LTE,281,5330,14
A-R2,A,LTE,382,66486,66
A-R2,A,LTE,148,66936,66
A-R2,A,LTE,148,66661,66
A-R2,A,LTE,282,850,2
A-R2,A,LTE,245,850,2
A-R2,A,LTE,328,850,2
A-R1,A,LTE,301,53341,46
A-R1,A,LTE,302,53539,46
A-R1,A,LTE,300,53140,46
A-R2,A,LTE,189,850,2
A-R5,A,LTE,185,5110,12
A-R1,A,LTE,404,66486,66
A-R1,A,LTE,193,66936,66
A-R5,A,LTE,193,5330,14
A-R2,A,LTE,334,9820,30
A-R2,A,LTE,327,66486,66
A-R2,A,LTE,66,850,2
A-R1,A,LTE,59,5330,14
A-R2,A,LTE,94,850,2
A-R1,A,LTE,262,850,2
A-R2,A,LTE,437,66486,66
A-R1,A,LTE,289,66936,66
A-R1,A,LTE,187,66661,66
A-R2,A,LTE,264,850,2
A-R2,A,LTE,263,850,2
A-R2,A,LTE,150,850,2
A-R2,A,LTE,47,850,2
A-R2,A,LTE,463,5110,12
A-R2,A,LTE,283,850,2
A-R1,A,LTE,165,850,2
A-R2,A,LTE,425,66486,66
A-R5,A,LTE,362,5330,14
A-R2,A,LTE,362,66936,66
A-R4,A,LTE,176,5110,12
A-R2,A,LTE,160,850,2
A-R4,A,LTE,171,5110,12
A-R3,A,LTE,356,5110,12
A-R2,A,LTE,40,66486,66
A-R1,A,LTE,269,66661,66
A-R2,A,LTE,254,850,2
A-R2,A,LTE,442,52941,46
A-R2,A,LTE,401,66486,66
A-R2,A,LTE,371,850,2
A-R3,A,LTE,71,5330,14
A-R2,A,LTE,350,66661,66
A-R2,A,LTE,164,9820,30
A-R1,A,LTE,293,53140,46
A-R3,A,LTE,291,53341,46
A-R1,A,LTE,336,53539,46
A-R2,A,LTE,275,850,2
A-R2,A,LTE,238,66486,66
A-R1,A,LTE,194,9820,30
A-R1,A,LTE,491,66661,66
A-R2,A,LTE,335,850,2
A-R3,A,LTE,179,5330,14
A-R1,A,LTE,357,53140,46
A-R2,A,LTE,477,850,2
A-R2,A,LTE,215,52941,46
A-R1,A,LTE,425,66661,66
A-R1,A,LTE,185,66936,66
A-R1,A,LTE,359,53339,46
A-R1,A,LTE,392,66486,66
A-R1,A,LTE,224,53141,46
