pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nrscell1_cid,nrscell1_freq,nrscell2_cid,nrscell2_freq,nrscell3_cid,nrscell3_freq,instance_number,duration_sample_number
213,66536,None,None,23,53341,23,53140,213,2561,None,None,None,None,None,None,5,43
213,66536,18,176930,21,56440,None,None,None,None,None,None,None,None,None,None,5,1082
220,66536,None,None,6,56044,6,56440,6,56242,None,None,None,None,None,None,2,15
220,66536,219,176930,6,56044,None,None,None,None,None,None,None,None,None,None,1,5
220,66536,413,176930,6,56044,None,None,None,None,None,None,None,None,None,None,1,14
220,66536,220,176930,6,56044,None,None,None,None,None,None,None,None,None,None,9,3315
81,66536,None,None,38,56440,38,56242,38,56044,None,None,None,None,None,None,30,880
388,66536,None,None,133,47291,133,47090,388,2561,None,None,None,None,None,None,3,710
459,66536,None,None,24,53140,24,53539,24,53341,None,None,None,None,None,None,2,19
220,66536,None,None,7,47291,7,47090,220,2561,None,None,None,None,None,None,1,228
459,66536,None,None,24,56440,24,56044,24,56242,None,None,None,None,None,None,6,193
81,66536,None,None,38,56440,38,56242,81,2561,None,None,None,None,None,None,5,2633
81,925,None,None,38,56440,38,56242,38,56044,None,None,None,None,None,None,3,355
153,925,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3,930
218,925,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3,446
356,925,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,877
356,2561,None,None,238,56242,238,56440,238,56044,None,None,None,None,None,None,2,109
280,2561,None,None,189,56044,189,56242,189,56440,None,None,None,None,None,None,1,14
213,2561,None,None,23,53341,23,53140,213,66536,None,None,None,None,None,None,1,10
362,5230,None,None,362,2050,None,None,None,None,None,None,None,None,None,None,1,9
224,66536,None,None,104,56440,104,56242,224,2561,None,None,None,None,None,None,1,413
239,66536,None,None,109,56044,109,56440,None,None,None,None,None,None,None,None,1,29
