grid_lat,grid_lon,total_sample,mw_sample,mw_ratio,sub6_sample,sub6_ratio,5g_sample,5g_ratio,lte_sample,lte_ratio,total_cs_sample,mw_cs_sample,mw_cs_ratio,sub6_cs_sample,sub6_cs_ratio,5g_cs_sample,5g_cs_sample,lte_cs_sample,lte_cs_ratio
-86.164,39.767,1075,307,0.285581395,156,0.145116279,463,0.430697674,612,0.569302326,42,13,0.30952381,6,0.142857143,19,0.452380952,23,0.547619048
-86.164,39.7695,931,901,0.967776584,0,0,901,0.967776584,30,0.032223416,7,5,0.714285714,0,0,5,0.714285714,2,0.285714286
-86.164,39.77,2906,1263,0.434618032,21,0.007226428,1284,0.44184446,1622,0.55815554,63,19,0.301587302,6,0.095238095,25,0.396825397,38,0.603174603
-86.164,39.771,1020,0,0,0,0,0,0,1020,1,12,0,0,0,0,0,0,12,1
-86.164,39.774,5881,0,0,2482,0.422037069,2482,0.422037069,3399,0.577962931,45,0,0,25,0.555555556,25,0.555555556,20,0.444444444
-86.1635,39.7615,1831,60,0.032768979,85,0.04642272,145,0.079191699,1686,0.920808301,69,2,0.028985507,4,0.057971014,6,0.086956522,63,0.913043478
-86.1635,39.7655,1082,0,0,0,0,0,0,1082,1,31,0,0,0,0,0,0,31,1
-86.1635,39.7665,276,0,0,0,0,0,0,276,1,3,0,0,0,0,0,0,3,1
-86.1635,39.767,1769,192,0.108535896,163,0.092142453,355,0.200678349,1414,0.799321651,56,9,0.160714286,8,0.142857143,17,0.303571429,39,0.696428571
-86.1635,39.7695,4264,4071,0.954737336,0,0,4071,0.954737336,193,0.045262664,28,15,0.535714286,0,0,15,0.535714286,13,0.464285714
-86.1635,39.77,11491,9948,0.865720999,9,0.000783222,9957,0.866504221,1534,0.133495779,142,60,0.422535211,3,0.021126761,63,0.443661972,79,0.556338028
-86.1635,39.771,5808,0,0,2062,0.355027548,2062,0.355027548,3746,0.644972452,25,0,0,6,0.24,6,0.24,19,0.76
-86.1635,39.774,3706,0,0,2483,0.669994603,2483,0.669994603,1223,0.330005397,45,0,0,23,0.511111111,23,0.511111111,22,0.488888889
-86.163,39.7615,5324,59,0.011081893,0,0,59,0.011081893,5265,0.988918107,63,2,0.031746032,0,0,2,0.031746032,61,0.968253968
-86.163,39.7655,1236,0,0,53,0.042880259,53,0.042880259,1183,0.957119741,19,0,0,2,0.105263158,2,0.105263158,17,0.894736842
-86.163,39.767,3129,246,0.078619367,174,0.055608821,420,0.134228188,2709,0.865771812,70,5,0.071428571,6,0.085714286,11,0.157142857,59,0.842857143
-86.163,39.768,457,13,0.028446389,172,0.376367615,185,0.404814004,272,0.595185996,3,1,0.333333333,1,0.333333333,2,0.666666667,1,0.333333333
-86.163,39.7685,439,0,0,0,0,0,0,439,1,2,0,0,0,0,0,0,2,1
-86.163,39.769,418,0,0,0,0,0,0,418,1,2,0,0,0,0,0,0,2,1
-86.163,39.7695,4273,1485,0.347531009,6,0.001404166,1491,0.348935174,2782,0.651064826,78,21,0.269230769,2,0.025641026,23,0.294871795,55,0.705128205
-86.163,39.77,21145,16238,0.767935682,2062,0.097517144,18300,0.865452826,2845,0.134547174,131,46,0.351145038,8,0.061068702,54,0.41221374,77,0.58778626
-86.163,39.7705,5423,2309,0.425779089,1008,0.185874977,3317,0.611654066,2106,0.388345934,78,26,0.333333333,6,0.076923077,32,0.41025641,46,0.58974359
-86.163,39.771,13299,852,0.064064967,3790,0.284983833,4642,0.349048801,8657,0.650951199,91,12,0.131868132,12,0.131868132,24,0.263736264,67,0.736263736
-86.163,39.7715,28104,4614,0.164175918,93,0.003309137,4707,0.167485056,23397,0.832514944,94,15,0.159574468,4,0.042553191,19,0.20212766,75,0.79787234
-86.163,39.772,6331,749,0.118306745,34,0.0053704,783,0.123677144,5548,0.876322856,140,21,0.15,1,0.007142857,22,0.157142857,118,0.842857143
-86.163,39.7725,24172,7907,0.327114016,132,0.005460864,8039,0.33257488,16133,0.66742512,121,40,0.330578512,7,0.05785124,47,0.388429752,74,0.611570248
-86.163,39.773,6196,1712,0.276307295,1,0.000161394,1713,0.276468689,4483,0.723531311,21,8,0.380952381,1,0.047619048,9,0.428571429,12,0.571428571
-86.163,39.7735,2059,104,0.050509956,0,0,104,0.050509956,1955,0.949490044,20,5,0.25,0,0,5,0.25,15,0.75
-86.163,39.774,8608,0,0,2783,0.323303903,2783,0.323303903,5825,0.676696097,141,0,0,52,0.368794326,52,0.368794326,89,0.631205674
