grid_lat,grid_lon,coverage_type,total_rss_num,mw_rss_num,sub6_rss_num,lte_rss_num
39.7665,-86.1555,T111,8334,2418,23,5893
39.7665,-86.155,T111,4202,825,161,3216
39.7665,-86.1545,T111,50170,12373,821,36976
39.7665,-86.154,T111,13270,4742,6,8522
39.7665,-86.1535,T111,15530,6818,13,8699
39.7665,-86.153,T111,17862,7211,15,10636
39.7665,-86.1525,T111,36113,14828,2,21283
39.7665,-86.152,T101,6848,3050,0,3798
39.7665,-86.1515,T111,11885,4857,71,6957
39.7665,-86.151,T111,34067,15960,253,17854
39.7665,-86.1505,T111,28928,8324,1053,19551
39.7665,-86.15,T111,18428,3423,2477,12528
39.7665,-86.1495,T111,11568,1563,1637,8368
39.7665,-86.149,T111,27371,2744,3982,20645
39.7665,-86.1485,T111,11456,3049,980,7427
39.7665,-86.148,T111,1872,148,306,1418
39.7665,-86.1475,T111,2024,22,332,1670
39.7665,-86.147,T111,2085,1,282,1802
39.7665,-86.1465,T111,1828,6,268,1554
39.7665,-86.146,T111,2063,8,272,1783
39.7665,-86.1455,T111,12590,8,2495,10087
39.7665,-86.145,T011,1744,0,484,1260
39.767,-86.1675,T111,4435,2756,1,1678
39.767,-86.167,T111,9026,2594,4,6428
39.767,-86.1665,T111,16445,6816,41,9588
39.767,-86.166,T111,6354,2694,3,3657
39.767,-86.1655,T111,4693,1556,1,3136
39.767,-86.165,T111,13665,3724,280,9661
39.767,-86.1645,T111,8799,1766,411,6622
39.767,-86.164,T111,32731,900,168,31663
39.767,-86.1635,T111,7529,518,219,6792
39.767,-86.163,T111,11736,668,205,10863
39.767,-86.1625,T111,10834,730,149,9955
39.767,-86.162,T111,18509,2626,400,15483
39.767,-86.1615,T111,92155,24951,272,66932
39.767,-86.161,T111,28171,12418,87,15666
39.767,-86.1605,T111,11150,3052,100,7998
39.767,-86.16,T111,42515,7233,402,34880
39.767,-86.1595,T111,118183,8347,3140,106696
39.767,-86.159,T111,70232,1782,3142,65308
39.767,-86.1585,T111,35244,1681,481,33082
39.767,-86.158,T111,95796,5959,2970,86867
39.767,-86.1575,T111,215665,3742,53033,158890
39.767,-86.157,T111,47485,2198,1390,43897
39.767,-86.1565,T111,54932,3831,635,50466
39.767,-86.156,T111,80595,18146,1549,60900
39.767,-86.1555,T111,25317,5982,313,19022
39.767,-86.155,T111,7546,1510,209,5827
39.767,-86.1545,T111,33644,9983,138,23523
39.767,-86.154,T111,86050,13752,5,72293
39.767,-86.1535,T111,15658,2532,5,13121
39.767,-86.153,T111,21292,4241,126,16925
39.767,-86.1525,T111,74155,13493,566,60096
39.767,-86.152,T111,1885,358,157,1370
39.767,-86.1515,T111,3321,2113,57,1151
39.767,-86.151,T111,297,119,19,159
39.767,-86.1505,T111,16583,4145,1464,10974
39.767,-86.15,T111,143,27,2,114
39.767,-86.1495,T101,18,0,0,18
39.767,-86.149,T111,8584,466,1950,6168
39.767,-86.1485,T111,2819,270,479,2070
39.767,-86.147,T001,273,0,0,273
39.767,-86.1455,T011,1596,0,330,1266
39.767,-86.145,T011,27,0,6,21
39.7675,-86.167,T111,1330,281,5,1044
39.7675,-86.1665,T111,5576,1527,15,4034
39.7675,-86.166,T001,28,0,0,28
39.7675,-86.1655,T001,17,0,0,17
39.7675,-86.163,T011,1445,0,226,1219
39.7675,-86.1625,T111,1752,2,240,1510
39.7675,-86.162,T111,1309,112,97,1100
39.7675,-86.1615,T111,33493,2664,44,30785
39.7675,-86.161,T011,3698,0,16,3682
39.7675,-86.1605,T001,20,0,0,20
39.7675,-86.16,T111,19211,648,4,18559
39.7675,-86.1595,T111,115445,1845,2432,111168
39.7675,-86.159,T111,1933,410,0,1523
39.7675,-86.1585,T111,1451,436,1,1014
39.7675,-86.158,T111,36450,1308,1836,33306
39.7675,-86.1575,T111,26931,514,2521,23896
39.7675,-86.157,T001,25,0,0,25
39.7675,-86.1565,T111,4563,5,5,4553
39.7675,-86.156,T111,46726,13836,257,32633
39.7675,-86.1555,T001,8,0,0,8
39.7675,-86.155,T001,9,0,0,9
39.7675,-86.1545,T101,4255,382,0,3873
39.7675,-86.154,T111,21752,2208,162,19382
39.7675,-86.1535,T001,1,0,0,1
39.7675,-86.1525,T111,24504,3806,315,20383
39.7675,-86.1505,T111,9967,2016,830,7121
39.7675,-86.149,T111,6134,46,1505,4583
39.7675,-86.1485,T111,893,1,186,706
39.7675,-86.147,T011,459,0,18,441
39.7675,-86.1455,T111,1163,1,230,932
39.768,-86.167,T101,1058,129,0,929
39.768,-86.1665,T111,5557,1664,3,3890
39.768,-86.163,T111,2443,1,277,2165
39.768,-86.162,T111,1029,11,441,577
39.768,-86.1615,T111,53296,8148,5817,39331
39.768,-86.161,T111,181,50,2,129
39.768,-86.1605,T101,41,2,0,39
39.768,-86.16,T111,19868,754,4,19110
39.768,-86.1595,T111,102224,2839,2198,97187
39.768,-86.159,T111,282,0,82,200
39.768,-86.1585,T111,28830,878,2850,25102
39.768,-86.158,T111,14039,121,1313,12605
39.768,-86.1575,T111,18588,357,1894,16337
39.768,-86.157,T111,26970,624,1491,24855
39.768,-86.1565,T111,1388,253,85,1050
39.768,-86.156,T111,143289,76211,766,66312
39.768,-86.1555,T111,765,45,97,623
39.768,-86.155,T011,1339,0,303,1036
39.768,-86.1545,T111,1302,80,32,1190
39.768,-86.154,T111,25868,1250,394,24224
39.768,-86.1535,T001,5,0,0,5
39.768,-86.1525,T111,26645,4849,97,21699
39.768,-86.152,T111,3359,276,129,2954
39.768,-86.1515,T111,1340,8,91,1241
39.768,-86.151,T011,1297,0,229,1068
39.768,-86.1505,T111,26368,4264,1980,20124
39.768,-86.15,T111,404,0,88,316
39.768,-86.1495,T011,270,0,61,209
39.768,-86.149,T111,13765,370,1846,11549
39.768,-86.1485,T111,13185,11,2125,11049
39.768,-86.148,T011,5663,0,775,4888
39.768,-86.1475,T011,3938,0,679,3259
39.768,-86.147,T011,3290,0,1102,2188
39.768,-86.1465,T011,3324,0,1008,2316
39.768,-86.146,T011,4479,0,1281,3198
39.768,-86.1455,T011,17741,0,2651,15090
39.7685,-86.167,T101,3633,1383,0,2250
39.7685,-86.1665,T101,4331,1295,0,3036
39.7685,-86.163,T111,3780,12,46,3722
39.7685,-86.162,T001,120,0,0,120
39.7685,-86.1615,T111,28404,4400,55,23949
39.7685,-86.161,T111,2006,642,20,1344
39.7685,-86.1605,T111,3466,559,235,2672
39.7685,-86.16,T111,12238,1032,282,10924
39.7685,-86.1595,T111,78786,6396,1932,70458
39.7685,-86.159,T111,2809,87,159,2563
39.7685,-86.1585,T111,25931,842,2079,23010
39.7685,-86.158,T111,9287,67,690,8530
39.7685,-86.1575,T111,14905,556,826,13523
39.7685,-86.157,T111,47198,1041,1327,44830
39.7685,-86.1565,T111,5429,774,441,4214
39.7685,-86.156,T111,70074,20710,471,48893
39.7685,-86.1555,T011,692,0,5,687
39.7685,-86.155,T011,357,0,8,349
39.7685,-86.1545,T101,263,33,0,230
39.7685,-86.154,T111,29881,1656,440,27785
39.7685,-86.153,T101,7,3,0,4
39.7685,-86.1525,T111,53282,7376,48,45858
39.7685,-86.152,T101,4,4,0,0
39.7685,-86.1505,T111,7971,2193,676,5102
39.7685,-86.149,T111,20261,40,2708,17513
39.7685,-86.1485,T111,13414,31,1580,11803
39.7685,-86.147,T011,229,0,119,110
39.7685,-86.1455,T111,3750,2,625,3123
39.769,-86.167,T101,840,190,0,650
39.769,-86.1665,T111,6106,1369,2,4735
39.769,-86.165,T101,8,6,0,2
39.769,-86.1645,T101,16,4,0,12
39.769,-86.163,T111,3229,26,18,3185
39.769,-86.1625,T001,55,0,0,55
39.769,-86.162,T001,46,0,0,46
39.769,-86.1615,T111,23076,4755,139,18182
39.769,-86.161,T111,1424,136,2,1286
39.769,-86.1605,T001,497,0,0,497
